dataset,quality,sweep,bpp,psnr,infer_compress_s,infer_decompress_s,codec_compress_s,codec_decompress_s,infer_compress_gbs,infer_decompress_gbs,codec_compress_gbs,codec_decompress_gbs,e2e_comp_GBps,e2e_decomp_GBps
nyx,6,mix,0.6157920360565186,25.540769577026367,0.9014137303233146,0.8975400301814079,0.27169193321466445,0.25573830300569533,0.5546842511713933,0.5570782173347094,1.8403196373333204,1.9551236327272608,0.42621906580183566,0.43354668652990463
roibinsz,1,baseline,0.012362119548292987,36.786434173583984,0.3519637162089348,0.351925508916378,0.2932053785324097,0.21070009541511536,0.4132992151409259,0.41334408555704033,0.49612434940772104,0.6903951675040426,0.2254700804066807,0.25854907161588936
roibinsz,1,mix,0.012723517938799929,36.62042236328125,0.34393331515789033,0.34525734549760817,0.29544383883476255,0.20665283370018006,0.4229492208408387,0.42132724926556,0.4923654128004799,0.7039164431603416,0.22751255148679878,0.26356884353659565
roibinsz,2,baseline,0.010374838149246881,37.32986831665039,0.35218739157915113,0.3518318383097649,0.29707030320167543,0.20934934186935425,0.4130367274506589,0.4134541329916901,0.4896697047785419,0.6948497013093812,0.22405021740457334,0.2592145510311056
roibinsz,2,mix,0.022193630865553243,37.21461868286133,0.3429570199847221,0.3442327364087105,0.2970378541946411,0.2130225269794464,0.42415322967792435,0.42258133025013317,0.4897231972727491,0.6828682850113393,0.22729295739088734,0.26104074241091835
roibinsz,3,baseline,0.01361758969399964,37.554954528808594,0.35087036597728727,0.3517355822324753,0.3134466869831085,0.21529571080207824,0.4145871004582152,0.4135672789882604,0.464086346125826,0.6756582707816404,0.2189712382348079,0.2565402111914341
roibinsz,3,mix,0.030846704800616263,37.479671478271484,0.34453114211559294,0.3434690535068512,0.31632297539710996,0.2246883852481842,0.42221532362503017,0.42352091456860963,0.4598664623858535,0.6474136502719465,0.2201186673614698,0.25603172245000744
roibinsz,4,baseline,0.017655253798370837,37.800601959228516,0.3518694384098053,0.35206745702028275,0.3170988807678223,0.21771913695335388,0.4134099520681269,0.41317743167286247,0.45874122076686175,0.6681375358308643,0.21744875429386581,0.25529966693805173
roibinsz,4,mix,0.02599527969449134,37.75368118286133,0.344057026386261,0.3435493776202202,0.31864038395881655,0.22233420825004577,0.42279714265717766,0.4234218925817511,0.45652194445647376,0.6542687641824293,0.21950640729302018,0.2570605179217653
roibinsz,5,baseline,0.022347696392572076,37.925865173339844,0.35174953275918963,0.35132483768463135,0.3199940469264984,0.21994044637680055,0.41355087674508345,0.4140507930663729,0.45459073087271984,0.6613896173422525,0.21655038033307394,0.2546388372019354
roibinsz,5,mix,0.038147607886843786,37.91401290893555,0.343394626557827,0.34308246076107024,0.32087161660194397,0.23072646307945252,0.4236127079954179,0.42399814710592887,0.4533474453357276,0.6304709296269315,0.21898798736976974,0.2535100477239448
roibinsz,6,baseline,0.03706505171029125,38.21790313720703,0.35173392355442046,0.3500281643867493,0.31761657261848447,0.23136886310577393,0.41356922925499306,0.4155846370879724,0.45799350603146255,0.6287204151611969,0.2173245982470443,0.25020136118447395
roibinsz,6,mix,0.05910051956140495,38.19762420654297,0.3434008572101593,0.3441545577645302,0.32164268589019773,0.23916934418678285,0.42360502198225963,0.4226773244327163,0.45226064216145606,0.6082147700067791,0.21873203518237158,0.2493748793434109
stem,1,baseline,0.04947440854964718,26.226613998413086,0.3786609912514687,0.3767455626130104,0.3658363230228424,0.275722785115242,0.6395892515877436,0.6428410153533056,0.6620105352001312,0.8783731815953277,0.3253033897591277,0.3711865883505954
stem,1,mix,0.0502777099609375,26.227033615112305,0.37132166546583173,0.36982012969255446,0.3634509057998657,0.2697604789733887,0.6522309967994194,0.6548791711293263,0.6663554723216472,0.8977871811381656,0.32960879253129305,0.37866610825672486
stem,2,baseline,0.04564051474294355,26.659461975097656,0.3788535976409912,0.3768389791250229,0.3717829737663269,0.2898607652187347,0.6392640891046821,0.6426816582571467,0.6514217086020182,0.8355304651777914,0.32264281974156805,0.3632632261444598
stem,2,mix,0.04786042244203629,26.646820068359375,0.37026863181591035,0.36915084528923037,0.37123062372207644,0.28840633702278134,0.6540859235421553,0.6560664917623191,0.6523909519418172,0.8397440309394779,0.3266186691236574,0.36831397559745876
stem,3,baseline,0.09434656943044355,27.574260711669922,0.37785878145694735,0.37619872254133224,0.3841939489841461,0.3170262415409088,0.6409471259769954,0.6437754449668321,0.630378225998541,0.7639351834814858,0.31780937240368706,0.34936350037629055
stem,3,mix,0.09740078833795363,27.570466995239258,0.3712718659937382,0.3692519625425339,0.3821058921813965,0.3199164154529571,0.6523184819074999,0.6558868322117654,0.6338229924102472,0.7570336759903246,0.32146887450810524,0.35141992542435624
stem,4,baseline,0.15326026178175403,28.199493408203125,0.3780749068260193,0.37632729184627534,0.3837265598773956,0.33617427277565004,0.6405807305044148,0.6435555040715207,0.6311460433632253,0.7204224701681046,0.31791419495164686,0.33991153426941867
stem,4,mix,0.1557518743699597,28.19904327392578,0.3702420482635498,0.36870448184013366,0.3834595539569855,0.3371512317657471,0.6541328872176166,0.6568607433012162,0.631585515345296,0.718334910810209,0.32133074851701754,0.3431119070536093
stem,5,baseline,0.23521767893145162,28.743480682373047,0.3781290861964226,0.37561145198345186,0.38568860721588133,0.3576594569683075,0.6404889463440893,0.6447819913932494,0.6279353226123179,0.6771455228750192,0.31707500636446856,0.330283796947866
stem,5,mix,0.23803366384198588,28.744094848632812,0.3695264336168766,0.3685353959798813,0.38490227150917056,0.35815730786323546,0.6553996628319666,0.6571621142551562,0.6292181624452422,0.6762042674624994,0.32102105653513835,0.33327360893977687
stem,6,baseline,0.35639805947580644,29.23540496826172,0.3773799102306366,0.37601693177223205,0.3871681296825409,0.3801200609207153,0.6417604473221337,0.6440866874226353,0.6255357335289504,0.6371342238906854,0.3167721154938844,0.3202957960533848
stem,6,mix,0.35890936082409275,29.23767852783203,0.3709312242269516,0.3693484219908714,0.3854027864933014,0.379288702249527,0.6529175334450122,0.6557155400706863,0.6284010092496034,0.6385307512815642,0.3202123619554885,0.32350452864027357
tecnick,1,baseline,0.05885111111111111,24.962308883666992,0.10121257394552231,0.1001439698934555,0.051345887959003446,0.036805792450904845,0.5300149794305751,0.5356705985884553,1.0447609814574277,1.4574928761391948,0.3516303168514061,0.3917069980958653
tecnick,1,mix,0.059653333333333336,24.888002395629883,0.09899753952026367,0.09777088275551796,0.05184358441829681,0.03622217589616775,0.541873874419588,0.5486723530152847,1.034731315354794,1.4809761967813488,0.35563365544598785,0.40035044231133904
tecnick,2,baseline,0.09949333333333334,28.036863327026367,0.10116540575027466,0.10000025701522827,0.05228060805797577,0.04200745576620102,0.5302620979969324,0.5364404242449347,1.0260817976402203,1.277015694461872,0.3495964409012705,0.3777553996691562
tecnick,2,mix,0.10142888888888889,28.01740837097168,0.09847744166851044,0.09775283390283585,0.05307052761316299,0.04145782542228699,0.5447357220999482,0.5487736585843914,1.0108092515844196,1.2939458293201604,0.3539749199683846,0.3853453504057257
tecnick,3,baseline,0.1464,30.075328826904297,0.10124099004268647,0.09944060641527176,0.05255673676729202,0.045621855914592745,0.5298662159984157,0.5394595048408017,1.0206908494980285,1.1758438849633202,0.3487969647570311,0.36980056340052664
tecnick,3,mix,0.1492111111111111,30.05725860595703,0.098967874199152,0.09769539475440979,0.052652255773544314,0.04585459131002426,0.5420362994753626,0.5490963052322398,1.018839164813251,1.169875878626017,0.3538064523985818,0.3736968687253843
tecnick,4,baseline,0.1992311111111111,31.329551696777344,0.10069542533159256,0.10013734757900238,0.05158140766620636,0.047611840069293976,0.5327370148266412,0.5357060237243604,1.039990623074768,1.1266983216733097,0.35228064073690685,0.3630759745735232
